                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0656,                0.97631,                 1.4938,                0.76983,                0.81275,                0.87429,                0.55367,                 1.2393,                 1.0423,                 1.8933,             0.00061079,             0.00061079,             0.00061079
                     35,                0.98375,                0.89446,                 1.4152,                0.93106,                0.80787,                0.92946,                0.62933,                 1.0923,                0.93198,                 1.7643,             0.00057778,             0.00057778,             0.00057778
                     36,                0.95581,                  0.864,                  1.412,                0.94546,                0.87881,                0.95721,                0.65079,                  1.079,                0.80523,                 1.7551,             0.00054478,             0.00054478,             0.00054478
                     37,                  1.141,                0.97694,                 1.5266,                0.91354,                0.91211,                0.96326,                0.63576,                 1.1147,                0.83487,                 1.8048,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1264,                0.96366,                 1.5681,                 0.9017,                0.88836,                0.94053,                0.59827,                 1.2028,                0.86782,                  1.934,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1674,                  1.053,                 1.5553,                0.95825,                0.91867,                0.97265,                0.69155,                0.99764,                0.74912,                 1.6558,             0.00044576,             0.00044576,             0.00044576
                     40,                0.95997,                0.87248,                 1.4016,                0.96474,                 0.9164,                0.98096,                 0.7451,                0.91579,                0.66379,                 1.5447,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.1729,                 1.0958,                 1.8125,                0.93196,                0.94028,                0.97957,                0.74078,                0.87872,                0.63922,                 1.5231,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0239,                0.85281,                  1.591,                0.94481,                0.91655,                0.98095,                0.72295,                0.90103,                0.64563,                 1.5412,             0.00034674,             0.00034674,             0.00034674
                     43,                0.89565,                 0.7259,                 1.5033,                0.94787,                0.95415,                0.98679,                  0.718,                0.88044,                0.63172,                 1.5035,             0.00031373,             0.00031373,             0.00031373
                     44,                0.83112,                0.70999,                 1.5106,                0.97891,                0.94762,                 0.9891,                0.75688,                0.84941,                0.60799,                 1.4558,             0.00028072,             0.00028072,             0.00028072
                     45,                0.93485,                0.75334,                   1.55,                0.97497,                0.94969,                0.98967,                0.76227,                0.83712,                0.59847,                 1.4471,             0.00024772,             0.00024772,             0.00024772
                     46,                0.82241,                0.63643,                 1.3907,                0.99101,                0.93869,                0.99072,                0.77747,                0.80497,                0.57905,                 1.4169,             0.00021471,             0.00021471,             0.00021471
                     47,                 0.7935,                0.69698,                 1.4463,                0.96747,                0.96529,                0.99243,                0.80009,                0.77424,                0.55179,                 1.3738,              0.0001817,              0.0001817,              0.0001817
                     48,                0.78917,                 0.6459,                 1.4321,                0.98057,                0.98017,                0.99408,                0.79953,                0.73167,                0.52036,                 1.3267,              0.0001487,              0.0001487,              0.0001487
                     49,                0.77142,                0.59136,                 1.3827,                0.98556,                0.98091,                0.99417,                0.80223,                0.73264,                0.51959,                 1.3225,             0.00011569,             0.00011569,             0.00011569
                     50,                0.69852,                0.54902,                 1.3616,                0.99053,                0.97958,                0.99425,                0.81333,                0.73171,                0.50989,                 1.3139,             8.2683e-05,             8.2683e-05,             8.2683e-05
